INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,SAT_AVG,SAT_AVG_ALL
William Penn University,Oskaloosa,IA,52577,41.310111,-92.647095,963,963
Baker University,Baldwin City,KS,66006-0065,38.777278,-95.188231,1137,1137
Benedictine College,Atchison,KS,66002-1499,39.572646,-95.111473,1215,1215
Bethany College,Lindsborg,KS,67456-1897,38.580598,-97.67367,1027,1027
Central Christian College of Kansas,McPherson,KS,67460-5740,38.357978,-97.668597,1008,1008
Emporia State University,Emporia,KS,66801-5415,38.414784,-96.179021,1105,1105
Friends University,Wichita,KS,67213,37.678459,-97.367048,1100,1100
Haskell Indian Nations University,Lawrence,KS,66046-4800,38.938834,-95.232879,950,950
University of Kansas,Lawrence,KS,66045,38.958549,-95.247567,1230,1230
Newman University,Wichita,KS,67213-2097,37.672643,-97.37768,1107,1107
Kansas Wesleyan University,Salina,KS,67401-6196,38.813795,-97.607973,1065,1065
Manhattan Christian College,Manhattan,KS,66502-4801,39.184806,-96.579383,1079,1079
McPherson College,McPherson,KS,67460-1402,38.371422,-97.642996,1105,1105
MidAmerica Nazarene University,Olathe,KS,66062-1899,38.875615,-94.781635,1064,1064
Ottawa University-Ottawa,Ottawa,KS,66067-3399,38.603173,-95.264187,1027,1027
Ottawa University-Kansas City,Overland Park,KS,66211,38.932055,-94.635461,NULL,1027
Pittsburg State University,Pittsburg,KS,66762,37.392071,-94.702473,1105,1105
University of Saint Mary,Leavenworth,KS,66048-5082,39.279396,-94.906743,1078,1078
Southwestern College,Winfield,KS,67156-6224,37.248608,-96.975405,1019,1019
Sterling College,Sterling,KS,67579,38.219937,-98.208644,1018,1018
Tabor College,Hillsboro,KS,67063-1799,38.348606,-97.200949,1048,1048
Wichita State University,Wichita,KS,67260-0124,37.718882,-97.292361,1159,1159
Alice Lloyd College,Pippa Passes,KY,41844,37.335087,-82.875068,1043,1043
Asbury University,Wilmore,KY,40390-1198,37.862029,-84.662606,1178,1178
Bellarmine University,Louisville,KY,40205-0671,38.219279,-85.704997,1189,1189
Berea College,Berea,KY,40404-2182,37.57202,-84.292893,1188,1188
Brescia University,Owensboro,KY,42301-3023,37.769041,-87.111639,1065,1065
Campbellsville University,Campbellsville,KY,42718-2799,37.343342,-85.348943,1061,1061
Centre College,Danville,KY,40422-1394,37.645709,-84.779392,1334,1334
University of the Cumberlands,Williamsburg,KY,40769,36.737048,-84.161646,1092,1092
Eastern Kentucky University,Richmond,KY,40475-3102,37.740845,-84.300796,1123,1123
Georgetown College,Georgetown,KY,40324-1696,38.207615,-84.553767,1145,1145
Kentucky Mountain Bible College,Jackson,KY,41339,37.603443,-83.438765,1045,1045
Kentucky State University,Frankfort,KY,40601-2355,38.201427,-84.855402,982,982
Kentucky Wesleyan College,Owensboro,KY,42301,37.744489,-87.119658,1114,1114
University of Kentucky,Lexington,KY,40506-0032,38.038911,-84.504747,1213,1213
Kentucky Christian University,Grayson,KY,41143-1199,38.338805,-82.945561,1029,1029
University of Louisville,Louisville,KY,40292-0001,38.216862,-85.760412,1211,1211
Midway University,Midway,KY,40347-1120,38.146126,-84.678142,1050,1050
Morehead State University,Morehead,KY,40351,38.186768,-83.434021,1144,1144
Murray State University,Murray,KY,42071-3318,36.612419,-88.323629,1173,1173
Northern Kentucky University,Highland Heights,KY,41099,39.029714,-84.463483,1142,1142
University of Pikeville,Pikeville,KY,41501,37.479232,-82.521063,1038,1038
The Southern Baptist Theological Seminary,Louisville,KY,40280-0001,38.248216,-85.687649,1105,1105
Spalding University,Louisville,KY,40203-2188,38.242407,-85.757725,1046,1046
Thomas More College,Crestview Hills,KY,41017-3495,39.022963,-84.568923,1081,1081
Union College,Barbourville,KY,40906-1499,36.870875,-83.888477,1025,1025
Western Kentucky University,Bowling Green,KY,42101-1000,36.985035,-86.456828,1136,1136
Centenary College of Louisiana,Shreveport,LA,71134-1188,32.483335,-93.730834,1193,1193
Dillard University,New Orleans,LA,70122,29.996587,-90.06464,1009,1009
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,31.178616,-92.414409,1026,1026
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,30.414986,-91.178921,1226,1226
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,32.428465,-93.70561,1080,1080
Louisiana College,Pineville,LA,71359,31.324528,-92.425973,1087,1087
Louisiana Tech University,Ruston,LA,71272,32.528297,-92.649963,1195,1195
Loyola University New Orleans,New Orleans,LA,70118-6143,29.936141,-90.120417,1203,1203
McNeese State University,Lake Charles,LA,70605,30.178187,-93.217222,1124,1124
University of New Orleans,New Orleans,LA,70148,30.027704,-90.067142,1126,1126
Nicholls State University,Thibodaux,LA,70310,29.794486,-90.801571,1104,1104
University of Louisiana at Monroe,Monroe,LA,71209-0000,32.527748,-92.07374,1124,1124
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,31.750666,-93.097797,1083,1083
University of Holy Cross,New Orleans,LA,70131-7399,29.912003,-89.99445,1030,1030
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,30.401379,-91.110587,1085,1085
Southeastern Louisiana University,Hammond,LA,70402,30.514652,-90.468676,1085,1085
Southern University and A & M College,Baton Rouge,LA,70813,30.524558,-91.190105,988,988
Southern University at New Orleans,New Orleans,LA,70126,30.026162,-90.044912,890,890
University of Louisiana at Lafayette,Lafayette,LA,70503,30.212191,-92.020165,1162,1162
Tulane University of Louisiana,New Orleans,LA,70118-5698,29.940069,-90.122144,1442,1442
Xavier University of Louisiana,New Orleans,LA,70125-1098,29.964162,-90.107307,1126,1126
Maine College of Health Professions,Lewiston,ME,4240,44.100458,-70.21732,920,920
Colby College,Waterville,ME,04901-8840,44.564211,-69.66337,1444,1444
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,47.250389,-68.589319,996,996
University of Maine,Orono,ME,4469,44.899257,-68.669332,1157,1157
Maine Maritime Academy,Castine,ME,04420-0001,44.389654,-68.804347,1083,1083
University of New England,Biddeford,ME,04005-9599,43.458591,-70.38535,1128,1128
University of Southern Maine,Portland,ME,4103,43.662863,-70.274247,1059,1059
University of Baltimore,Baltimore,MD,21201-5720,39.305834,-76.616591,999,999
Bowie State University,Bowie,MD,20715-9465,39.018185,-76.759721,950,950
Capitol Technology University,Laurel,MD,20708,39.046673,-76.850231,1062,1062
Washington Adventist University,Takoma Park,MD,20912,38.986349,-77.000608,957,957
Coppin State University,Baltimore,MD,21216-3698,39.311258,-76.658687,930,930
Frostburg State University,Frostburg,MD,21532-1099,39.650918,-78.934293,1017,1017
Johns Hopkins University,Baltimore,MD,21218-2688,39.328977,-76.621595,1524,1524
University of Maryland-Baltimore County,Baltimore,MD,21250,39.256686,-76.711607,1255,1255
University of Maryland-College Park,College Park,MD,20742,38.988178,-76.944721,1396,1396
Maryland Institute College of Art,Baltimore,MD,21217-4134,39.308792,-76.621033,1203,1203
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,38.207386,-75.686852,950,950
Morgan State University,Baltimore,MD,21251-0001,39.344161,-76.585565,977,977
Mount St. Mary's University,Emmitsburg,MD,21727-7799,39.681705,-77.351887,1085,1085
Notre Dame of Maryland University,Baltimore,MD,21210-2476,39.350612,-76.619739,993,993
St. Mary's College of Maryland,St. Mary's City,MD,20686,38.190904,-76.429097,1190,1190
St. John's College,Annapolis,MD,21401,38.981598,-76.491359,1365,1365
Towson University,Towson,MD,21252-0001,39.393622,-76.611164,1136,1136
United States Naval Academy,Annapolis,MD,21402-5000,38.980507,-76.481692,1260,1260
Stevenson University,Stevenson,MD,21153-0641,39.421988,-76.702092,1097,1097
McDaniel College,Westminster,MD,21157,39.584231,-77.001992,1161,1161
American International College,Springfield,MA,1109,42.112346,-72.558338,997,997
Amherst College,Amherst,MA,01002-5000,42.372459,-72.518493,1497,1497
Babson College,Babson Park,MA,02457-0310,42.297017,-71.264057,1347,1347
Boston Baptist College,Boston,MA,02136-4030,42.254037,-71.1103,970,970
Bay Path University,Longmeadow,MA,1106,42.055088,-72.583382,1086,1086
Becker College,Worcester,MA,01609-2165,42.269171,-71.811894,1078,1078
Bentley University,Waltham,MA,02452-4705,42.385995,-71.222839,1319,1319
Boston College,Chestnut Hill,MA,2467,42.336213,-71.169242,1434,1434
Boston University,Boston,MA,2215,42.351118,-71.107942,1401,1401
Brandeis University,Waltham,MA,02454-9110,42.365727,-71.260155,1403,1403
Bridgewater State University,Bridgewater,MA,2325,41.98749,-70.974553,1070,1070
Curry College,Milton,MA,02186-2395,42.238061,-71.116539,1018,1018
Dean College,Franklin,MA,02038-1941,42.085634,-71.397813,1002,1002
Eastern Nazarene College,Quincy,MA,02170-2999,42.271228,-71.011079,1049,1049
Emerson College,Boston,MA,02116-4624,42.352202,-71.065384,1299,1299
Emmanuel College,Boston,MA,2115,42.340602,-71.103634,1183,1183
Fitchburg State University,Fitchburg,MA,01420-2697,42.588298,-71.789666,1056,1056
Framingham State University,Framingham,MA,01701-9101,42.297116,-71.437565,1043,1043
Gordon College,Wenham,MA,1984,42.590567,-70.82151,1189,1189
Harvard University,Cambridge,MA,2138,42.374471,-71.118313,1523,1523
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,42.317018,-71.129418,1142,1142
Lasell College,Newton,MA,2466,42.342148,-71.24347,1069,1069
Lesley University,Cambridge,MA,02138-2790,42.38012,-71.117303,1123,1123
University of Massachusetts-Lowell,Lowell,MA,01854-5104,42.652864,-71.326809,1227,1227
University of Massachusetts-Amherst,Amherst,MA,1003,42.385999,-72.526728,1288,1288
University of Massachusetts-Boston,Boston,MA,02125-3393,42.312881,-71.036865,1134,1134
MCPHS University,Boston,MA,02115-5896,42.336825,-71.101244,1169,1169
Massachusetts Institute of Technology,Cambridge,MA,02139-4307,42.359243,-71.093226,1532,1532
Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,41.739072,-70.624084,1122,1122
Mount Holyoke College,South Hadley,MA,01075-1489,42.256838,-72.575511,1393,1393
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,42.691361,-73.102817,1085,1085
Northeastern University,Boston,MA,02115-5005,42.339992,-71.088782,1482,1482
College of Our Lady of the Elms,Chicopee,MA,1013,42.141781,-72.60154,1033,1033
Salem State University,Salem,MA,1970,42.503575,-70.890234,1066,1066
Simmons University,Boston,MA,02115-5898,42.3393,-71.099967,1227,1227
Springfield College,Springfield,MA,01109-3797,42.101576,-72.556751,1148,1148
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300,41.62869,-71.004552,1097,1097
Suffolk University,Boston,MA,02108-3901,42.357945,-71.060917,1102,1102
Tufts University,Medford,MA,02155-5555,42.40855,-71.118293,1482,1482
Wellesley College,Wellesley,MA,02481-8203,42.291554,-71.306605,1448,1448
Wentworth Institute of Technology,Boston,MA,2115,42.336632,-71.094983,1181,1181
Western New England University,Springfield,MA,01119-2684,42.115017,-72.520466,1096,1096
Westfield State University,Westfield,MA,01086-1630,42.132698,-72.796503,1064,1064
Wheaton College,Norton,MA,02766-2322,41.966637,-71.183979,1270,1270
Wheelock College,Boston,MA,2215,42.349707,-71.100868,879,879
Williams College,Williamstown,MA,1267,42.712725,-73.203132,1493,1493
Adrian College,Adrian,MI,49221-2575,41.898591,-84.061481,1070,1070
Albion College,Albion,MI,49224,42.245049,-84.745639,1123,1123
Alma College,Alma,MI,48801-1599,43.38004,-84.672053,1140,1140
Andrews University,Berrien Springs,MI,49104,41.963859,-86.355815,1203,1203
Aquinas College,Grand Rapids,MI,49506-1801,42.96019,-85.628785,1143,1143
Calvin College,Grand Rapids,MI,49546,42.929916,-85.587548,1243,1243
Central Michigan University,Mount Pleasant,MI,48859,43.591203,-84.77525,1125,1125
Cleary University,Howell,MI,48843,42.586638,-83.879987,1017,1017
Concordia University-Ann Arbor,Ann Arbor,MI,48105,42.273157,-83.68268,1085,1130
College for Creative Studies,Detroit,MI,48202,42.361839,-83.062352,1149,1149
University of Detroit Mercy,Detroit,MI,48221-3038,42.414222,-83.139158,1163,1163
Eastern Michigan University,Ypsilanti,MI,48197,42.24694,-83.622501,1046,1046
Ferris State University,Big Rapids,MI,49307-2251,43.687724,-85.481925,1069,1069
Kettering University,Flint,MI,48504-6214,43.012468,-83.71282,1270,1270
Cornerstone University,Grand Rapids,MI,49525-5897,42.979966,-85.595328,1069,1069
Grand Valley State University,Allendale,MI,49401-9403,42.963001,-85.889826,1150,1150
Hillsdale College,Hillsdale,MI,49242,41.933682,-84.633195,1381,1381
Hope College,Holland,MI,49422-9000,42.787298,-86.102089,1240,1240
Kalamazoo College,Kalamazoo,MI,49006-3295,42.290789,-85.601857,1306,1306
Lake Superior State University,Sault Ste Marie,MI,49783,46.492849,-84.365573,1148,1148
Lawrence Technological University,Southfield,MI,48075-1058,42.474072,-83.25003,1163,1163
Madonna University,Livonia,MI,48150-1176,42.384323,-83.404722,1053,1053
Marygrove College,Detroit,MI,48221-2599,42.414415,-83.154109,1021,1021
Rochester College,Rochester Hills,MI,48307,42.667521,-83.144959,997,997
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,42.275921,-83.742769,1436,1436
Michigan State University,East Lansing,MI,48824-1046,42.73212,-84.476111,1220,1220
Michigan Technological University,Houghton,MI,49931-1295,47.11866,-88.548092,1277,1277
University of Michigan-Dearborn,Dearborn,MI,48128-1491,42.317287,-83.231417,1187,1187
University of Michigan-Flint,Flint,MI,48502-1950,43.01875,-83.690276,1092,1092
Northern Michigan University,Marquette,MI,49855-5301,46.559751,-87.406568,1082,1082
Northwood University,Midland,MI,48640-2398,43.628717,-84.27682,1095,1095
Oakland University,Rochester Hills,MI,48309-4401,42.674573,-83.216418,1141,1141
Kuyper College,Grand Rapids,MI,49525-9781,43.02195,-85.592657,1092,1092
Saginaw Valley State University,University Center,MI,48710,43.51176,-83.964273,1101,1101
Spring Arbor University,Spring Arbor,MI,49283-9799,42.206568,-84.556074,1118,1118
Finlandia University,Hancock,MI,49930-1832,47.127868,-88.588756,966,966
Wayne State University,Detroit,MI,48202,42.358994,-83.068998,1134,1134
Western Michigan University,Kalamazoo,MI,49008-5200,42.282194,-85.613759,1103,1103
Augsburg University,Minneapolis,MN,55454,44.966307,-93.240436,1085,1085
Bemidji State University,Bemidji,MN,56601,47.482341,-94.874119,1105,1105
Bethany Lutheran College,Mankato,MN,56001,44.166649,-93.990805,1126,1126
Bethel University,Saint Paul,MN,55112,45.057655,-93.161663,1181,1181
Bethel Seminary-St Paul,Saint Paul,MN,55112,45.060071,-93.16318,NULL,1181
Carleton College,Northfield,MN,55057-4001,44.462318,-93.154666,1469,1469
Concordia College at Moorhead,Moorhead,MN,56562,46.862482,-96.76749,1213,1213
Martin Luther College,New Ulm,MN,56073-3965,44.30526,-94.472326,1194,1194
Hamline University,Saint Paul,MN,55104-1284,44.966246,-93.164479,1145,1145
Macalester College,Saint Paul,MN,55105-1899,44.938565,-93.168053,1405,1405
Minnesota State University-Mankato,Mankato,MN,56001,44.146712,-93.99945,1105,1105
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,44.972851,-93.235464,1349,1344
University of Minnesota-Crookston,Crookston,MN,56716-5001,47.802536,-96.606188,1082,1082
Minneapolis College of Art and Design,Minneapolis,MN,55404,44.956988,-93.274705,1141,1141
University of Minnesota-Duluth,Duluth,MN,55812,46.817126,-92.084385,1185,1185
University of Minnesota-Morris,Morris,MN,56267,45.589829,-95.901756,1219,1219
Minnesota State University Moorhead,Moorhead,MN,56563,46.867153,-96.759532,1123,1123
North Central University,Minneapolis,MN,55404-1391,44.968625,-93.261511,1118,1118
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,45.033703,-93.167822,1174,1174
College of Saint Benedict,Saint Joseph,MN,56374,45.561792,-94.319888,1208,1208
Saint Cloud State University,Saint Cloud,MN,56301-4498,45.553227,-94.152657,1065,1065
Saint Johns University,Collegeville,MN,56321,45.580075,-94.393621,1187,1187
Saint Mary's University of Minnesota,Winona,MN,55987-1399,44.044736,-91.695449,1122,1122
St Olaf College,Northfield,MN,55057-1098,44.461529,-93.182039,1312,1312
Crown College,Saint Bonifacius,MN,55375-9001,44.885393,-93.743019,1066,1066
The College of Saint Scholastica,Duluth,MN,55811-4199,46.816082,-92.106134,1141,1141
University of St Thomas,Saint Paul,MN,55105-1078,44.943439,-93.188986,1267,1267
St Catherine University,Saint Paul,MN,55105,44.924926,-93.183761,1146,1146
Southwest Minnesota State University,Marshall,MN,56258-5468,44.45373,-95.759548,1065,1065
Winona State University,Winona,MN,55987-5838,44.046159,-91.643723,1125,1125
Alcorn State University,Alcorn State,MS,39096-7500,31.877216,-91.142854,1005,1005
Blue Mountain College,Blue Mountain,MS,38610-9509,34.67209,-89.02924,1047,1047
Delta State University,Cleveland,MS,38733,33.744745,-90.735365,1047,1047
Jackson State University,Jackson,MS,39217,32.296105,-90.207405,990,990
Millsaps College,Jackson,MS,39210-0001,32.322746,-90.179957,1215,1215
University of Mississippi,University,MS,38677-1848,34.365529,-89.537434,1225,1225
Mississippi University for Women,Columbus,MS,39701,33.493305,-88.418601,1046,1046
Mississippi Valley State University,Itta Bena,MS,38941-1400,33.514142,-90.341274,930,930
Mississippi College,Clinton,MS,39058,32.335515,-90.329821,1229,1229
Mississippi State University,Mississippi State,MS,39762,33.454852,-88.790139,1195,1195
University of Southern Mississippi,Hattiesburg,MS,39406-0001,31.32661,-89.331236,1125,1125
Tougaloo College,Tougaloo,MS,39174,32.403014,-90.16076,1025,1025
William Carey University,Hattiesburg,MS,39401-5499,31.305264,-89.291815,1179,1179
Avila University,Kansas City,MO,64145-1698,38.91339,-94.591758,1060,1060
Calvary University,Kansas City,MO,64147-1341,38.839578,-94.547927,1041,1041
Central Christian College of the Bible,Moberly,MO,65270-1997,39.395963,-92.427259,960,960
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.150497,-92.685253,1121,1121
University of Central Missouri,Warrensburg,MO,64093,38.759111,-93.737428,1105,1105
Conception Seminary College,Conception,MO,64433-0502,40.24044,-94.682831,1061,1061
Cottey College,Nevada,MO,64772,37.836127,-94.371311,1053,1053
Culver-Stockton College,Canton,MO,63435-1299,40.128993,-91.529374,1040,1040
Drury University,Springfield,MO,65802-3791,37.219681,-93.286192,1226,1226
Evangel University,Springfield,MO,65802-2125,37.220956,-93.262614,1102,1102
Fontbonne University,Saint Louis,MO,63105-3098,38.642697,-90.315712,1145,1145
Kansas City Art Institute,Kansas City,MO,64111-1874,39.046353,-94.583594,1158,1158
Lindenwood University,Saint Charles,MO,63301-1695,38.785425,-90.501286,1097,1097
Logan University,Chesterfield,MO,63017,38.63133,-90.542333,977,977
Maryville University of Saint Louis,Saint Louis,MO,63141-7299,38.644774,-90.505998,1176,1176
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,39.185691,-94.573185,1125,1125
Missouri Baptist University,Saint Louis,MO,63141-8698,38.641526,-90.462586,1041,1041
Missouri Southern State University,Joplin,MO,64801-1595,37.095155,-94.461689,1085,1085
University of Missouri-Columbia,Columbia,MO,65211-1050,38.94531,-92.328843,1249,1249
University of Missouri-Kansas City,Kansas City,MO,64110,39.034179,-94.582141,1197,1197
Missouri University of Science and Technology,Rolla,MO,65409,37.953426,-91.775583,1323,1323
University of Missouri-St Louis,Saint Louis,MO,63121-4400,38.710312,-90.311091,1197,1197
Truman State University,Kirksville,MO,63501-4221,40.188267,-92.581658,1291,1291
Northwest Missouri State University,Maryville,MO,64468-6001,40.351692,-94.883339,1124,1124
Ozark Christian College,Joplin,MO,64801,37.103172,-94.510622,1107,1107
College of the Ozarks,Point Lookout,MO,65726-0017,36.616019,-93.238174,1165,1165
Rockhurst University,Kansas City,MO,64110-2561,39.032318,-94.573003,1198,1198
Saint Louis University,Saint Louis,MO,63103-2097,38.636801,-90.2351,1319,1319
Saint Louis Christian College,Florissant,MO,63033,38.775771,-90.294569,950,950
St. Louis College of Pharmacy,Saint Louis,MO,63110-1088,38.636904,-90.260617,1246,1246
Southwest Baptist University,Bolivar,MO,65613-2596,37.602425,-93.407056,1136,1136
Stephens College,Columbia,MO,65215,38.95204,-92.319204,1099,1099
Southeast Missouri State University,Cape Girardeau,MO,63701,37.311107,-89.531187,1145,1145
Missouri State University-Springfield,Springfield,MO,65897,37.199258,-93.281281,1164,1164
Washington University in St Louis,Saint Louis,MO,63130-4899,38.647929,-90.310604,1508,1508
Webster University,Saint Louis,MO,63119-3194,38.588875,-90.345151,1164,1164
Westminster College,Fulton,MO,65251-1299,38.849354,-91.955273,1162,1162
William Jewell College,Liberty,MO,64068-1896,39.247844,-94.413126,1226,1226
William Woods University,Fulton,MO,65251-1098,38.860287,-91.950416,1141,1141
Highlands College of Montana Tech,Butte,MT,59701,45.938145,-112.509365,NULL,1201
Carroll College,Helena,MT,59625-0002,46.600771,-112.040285,1199,1199
Montana Technological University,Butte,MT,59701-8997,46.012868,-112.559511,1201,1201
Montana State University,Bozeman,MT,59717,45.666726,-111.048812,1195,1195
The University of Montana,Missoula,MT,59812,46.859312,-113.982912,1165,1165
Rocky Mountain College,Billings,MT,59102-1796,45.796522,-108.554075,1099,1099
The University of Montana-Western,Dillon,MT,59725-3598,45.208306,-112.639264,999,999
Clarkson College,Omaha,NE,68131-2739,41.259165,-95.974847,1125,1125
Bryan College of Health Sciences,Lincoln,NE,68506,40.796768,-96.651532,1125,1125
Concordia University-Nebraska,Seward,NE,68434-1556,40.914853,-97.089054,1134,1134
Creighton University,Omaha,NE,68178,41.265361,-95.947811,1283,1283
Doane University-Arts & Sciences,Crete,NE,68333,40.622952,-96.950932,1125,1125
Grace University,Omaha,NE,68108-3629,41.246894,-95.927709,1010,1010
Hastings College,Hastings,NE,68901,40.59025,-98.374403,1118,1118
University of Nebraska at Kearney,Kearney,NE,68849-1212,40.701452,-99.098699,1105,1105
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,41.265973,-96.048511,1145,1145
Midland University,Fremont,NE,68025,41.43674,-96.488008,1039,1039
Nebraska Christian College of Hope International University,Papillion,NE,68046,41.12314,-96.09437,989,1009
University of Nebraska at Omaha,Omaha,NE,68182-0225,41.258769,-96.008516,1125,1125
Nebraska Wesleyan University,Lincoln,NE,68504-2794,40.839098,-96.64831,1213,1213
University of Nebraska-Lincoln,Lincoln,NE,68588,40.817598,-96.700508,1235,1235
Summit Christian College,Gering,NE,69341,41.829274,-103.675715,1010,1010
Union College,Lincoln,NE,68506,40.774778,-96.651095,1112,1112
Nebraska College of Technical Agriculture,Curtis,NE,69025-9552,40.635454,-100.510409,NULL,1235
York College,York,NE,68467-2699,40.869526,-97.579352,1041,1041
University of Nevada-Las Vegas,Las Vegas,NV,89154,36.106047,-115.138462,1100,1100
University of Nevada-Reno,Reno,NV,89557,39.543642,-119.815377,1165,1165
Sierra Nevada College,Incline Village,NV,89451,39.244278,-119.939125,1048,1048
Dartmouth College,Hanover,NH,03755-3529,43.704115,-72.289949,1483,1483
University of New Hampshire-School of Law,Concord,NH,03301-4197,43.207371,-71.545152,NULL,1176
University of New Hampshire-Main Campus,Durham,NH,03824-3547,43.135934,-70.932465,1177,1176
Keene State College,Keene,NH,03435-1506,42.926452,-72.279276,1038,1038
University of New Hampshire at Manchester,Manchester,NH,03101-1113,42.987209,-71.468755,1135,1176
Saint Anselm College,Manchester,NH,03102-1310,42.986889,-71.503622,1227,1227
Thomas More College of Liberal Arts,Merrimack,NH,3054,42.80683,-71.48437,1220,1220
Bloomfield College,Bloomfield,NJ,7003,40.795105,-74.194309,934,934
Caldwell University,Caldwell,NJ,07006-6195,40.832753,-74.272571,1035,1035
Centenary University,Hackettstown,NJ,7840,40.84764,-74.833644,1014,1014
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,7666,40.897209,-74.028986,1104,1125
Felician University,Lodi,NJ,7644,40.867272,-74.096452,993,993
Fairleigh Dickinson University-Florham Campus,Madison,NJ,7940,40.774498,-74.432121,1140,1125
Georgian Court University,Lakewood,NJ,08701-2697,40.099617,-74.228186,1015,1015
Rowan University,Glassboro,NJ,8028,39.709108,-75.119119,1164,1164
New Jersey City University,Jersey City,NJ,7305,40.709937,-74.08727,975,975
Kean University,Union,NJ,7083,40.677981,-74.233503,977,977
Monmouth University,West Long Branch,NJ,07764-1898,40.280066,-74.006447,1088,1088
Montclair State University,Montclair,NJ,07043-1624,40.860414,-74.198141,1070,1070
New Jersey Institute of Technology,Newark,NJ,7102,40.741997,-74.177113,1282,1282
Princeton University,Princeton,NJ,08544-0070,40.348732,-74.659365,1500,1500
Ramapo College of New Jersey,Mahwah,NJ,07430-1680,41.080942,-74.174086,1146,1146
Rider University,Lawrenceville,NJ,08648-3099,40.278796,-74.737833,1097,1097
Rutgers University-Camden,Camden,NJ,8102,39.948064,-75.12224,1090,1238
Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281,40.498769,-74.446251,1295,1238
Rutgers University-Newark,Newark,NJ,7102,40.739122,-74.175809,1090,1238
Saint Peter's University,Jersey City,NJ,07306-5997,40.727105,-74.071541,1021,1021
Seton Hall University,South Orange,NJ,07079-2697,40.742336,-74.246027,1222,1222
College of Saint Elizabeth,Morristown,NJ,07960-6989,40.78182,-74.438221,885,885
Stevens Institute of Technology,Hoboken,NJ,07030-5991,40.744776,-74.025334,1410,1410
Stockton University,Galloway,NJ,08205-9441,39.492036,-74.531087,1105,1105
The College of New Jersey,Ewing,NJ,08628-7718,40.268651,-74.778791,1250,1250
William Paterson University of New Jersey,Wayne,NJ,7470,40.945255,-74.200248,1030,1030
New Mexico State University-Dona Ana,Las Cruces,NM,88011,32.354486,-106.737172,NULL,1043
Eastern New Mexico University-Main Campus,Portales,NM,88130,34.175592,-103.34819,984,984
Eastern New Mexico University-Roswell Campus,Roswell,NM,88202-6000,33.313167,-104.525718,NULL,984
New Mexico Military Institute,Roswell,NM,88201-5173,33.409617,-104.524448,1015,1015
University of New Mexico-Gallup Campus,Gallup,NM,87301,35.502662,-108.727252,NULL,1103
New Mexico Institute of Mining and Technology,Socorro,NM,87801,34.067041,-106.905211,1259,1259
University of New Mexico-Los Alamos Campus,Los Alamos,NM,87544,35.886153,-106.319557,NULL,1103
University of New Mexico-Main Campus,Albuquerque,NM,87106,35.083868,-106.620155,1103,1103
New Mexico State University-Alamogordo,Alamogordo,NM,88310,32.92033,-105.926241,NULL,1043
New Mexico State University-Carlsbad,Carlsbad,NM,88220,32.442028,-104.265536,NULL,1043
New Mexico State University-Grants,Grants,NM,87020-2025,35.165965,-107.843638,NULL,1043
New Mexico State University-Main Campus,Las Cruces,NM,88003-8001,32.281568,-106.752069,1043,1043
University of New Mexico-Valencia County Campus,Los Lunas,NM,87031-7633,34.728683,-106.705371,NULL,1103
University of New Mexico-Taos Campus,Ranchos de Taos,NM,87557,36.348861,-105.651709,NULL,1103
Adelphi University,Garden City,NY,11530-0701,40.721439,-73.653321,1164,1164
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,42.650371,-73.779063,1200,1200
Alfred University,Alfred,NY,14802-1205,42.254476,-77.788106,1116,1116
Barnard College,New York,NY,10027-6598,40.810098,-73.963346,1430,1430
Canisius College,Buffalo,NY,14208-1098,42.925206,-78.852577,1172,1172
Clarkson University,Potsdam,NY,13699,44.662716,-74.999359,1247,1247
Colgate University,Hamilton,NY,13346-1398,42.819475,-75.536346,1443,1443
Columbia University in the City of New York,New York,NY,10027,40.808286,-73.961885,1488,1488
Concordia College-New York,Bronxville,NY,10708-1998,40.943382,-73.82202,1041,1041
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,40.728148,-73.991609,1424,1424
Cornell University,Ithaca,NY,14853,42.4472,-76.483084,1477,1477
Weill Cornell Medical College,New York,NY,10065,40.764738,-73.954839,NULL,1477
